gene	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2.x	uniprotID	geneID	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	GOID	Biological_Process	P	V2.y	V3	V4	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
g20160.t1	14.84393703	1.675692946	0.466876074	3.589160031	0.000331745	0.045638998	5	6	28	15	29	11	0	25	13	7	48	18	36	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15181.t1	1546.442033	-1.38468076	0.321690912	-4.304382583	1.67e-05	0.006358155	2995	3264	261	412	543	858	2727	672	409	604	324	1675	447	2303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11893.t1	18.29741308	3.061514768	0.6826396	4.484818589	7.3e-06	0.00384847	5	4	81	1	55	33	5	7	5	5	11	7	71	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g4147.t1	7124.448956	-0.88224554	0.210196388	-4.197244061	2.7e-05	0.008843826	11794	7719	4978	8176	4330	6139	5872	12736	5324	5616	3964	6810	6319	7555	sp	Q99814	EPAS1_HUMAN	51.053	190	83	3	79	648	22	201	7.86e-54	188	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPAS1_HUMAN	reviewed	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	EPAS1 BHLHE73 HIF2A MOP2 PASD2	Homo sapiens (Human)	870	angiogenesis [GO:0001525]; blood vessel remodeling [GO:0001974]; cell maturation [GO:0048469]; cellular response to hypoxia [GO:0071456]; embryonic placenta development [GO:0001892]; erythrocyte differentiation [GO:0030218]; iron ion homeostasis [GO:0055072]; lung development [GO:0030324]; mitochondrion organization [GO:0007005]; myoblast fate commitment [GO:0048625]; norepinephrine metabolic process [GO:0042415]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; post-translational protein modification [GO:0043687]; protein ubiquitination [GO:0016567]; regulation of heart rate [GO:0002027]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]; somatic stem cell population maintenance [GO:0035019]; surfactant homeostasis [GO:0043129]; transcription from RNA polymerase II promoter [GO:0006366]; visual perception [GO:0007601]	cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]	DNA binding [GO:0003677]; histone acetyltransferase binding [GO:0035035]; protein heterodimerization activity [GO:0046982]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; transcription factor binding [GO:0008134]	cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; DNA binding [GO:0003677]; histone acetyltransferase binding [GO:0035035]; protein heterodimerization activity [GO:0046982]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription factor binding [GO:0008134]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; angiogenesis [GO:0001525]; blood vessel remodeling [GO:0001974]; cell maturation [GO:0048469]; cellular response to hypoxia [GO:0071456]; embryonic placenta development [GO:0001892]; erythrocyte differentiation [GO:0030218]; iron ion homeostasis [GO:0055072]; lung development [GO:0030324]; mitochondrion organization [GO:0007005]; myoblast fate commitment [GO:0048625]; norepinephrine metabolic process [GO:0042415]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; post-translational protein modification [GO:0043687]; protein ubiquitination [GO:0016567]; regulation of heart rate [GO:0002027]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]; somatic stem cell population maintenance [GO:0035019]; surfactant homeostasis [GO:0043129]; transcription from RNA polymerase II promoter [GO:0006366]; visual perception [GO:0007601]	GO:0000981; GO:0001077; GO:0001525; GO:0001666; GO:0001892; GO:0001974; GO:0002027; GO:0003677; GO:0005634; GO:0005654; GO:0005667; GO:0005829; GO:0006366; GO:0007005; GO:0007165; GO:0007601; GO:0008134; GO:0016567; GO:0016607; GO:0030218; GO:0030324; GO:0035019; GO:0035035; GO:0042415; GO:0043129; GO:0043619; GO:0043687; GO:0045944; GO:0046982; GO:0048469; GO:0048625; GO:0055072; GO:0061418; GO:0071456
g11259.t2	15.54037185	4.597425141	1.143379512	4.02090915	5.8e-05	0.014110714	19	8	47	0	9	45	0	0	0	0	54	8	39	9	sp	P35992	PTP10_DROME	38.086	491	274	6	2146	3609	1076	1539	5.61e-93	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12308.t1	13.42459703	1.364356085	0.380670992	3.584082089	0.000338266	0.046201254	4	9	30	11	17	19	3	9	9	13	11	28	43	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17267.t1	220.0015039	-0.914688733	0.24481822	-3.736195503	0.000186825	0.031829007	409	236	167	268	136	119	172	365	184	252	207	147	242	162	sp	A1L2K1	METRL_XENLA	25.667	300	169	8	70	870	5	283	2.54e-29	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17025.t1	1255.601774	-1.460335871	0.374558068	-3.898823693	9.67e-05	0.020853539	1100	644	445	914	870	1071	1342	1438	1337	2008	473	1185	353	2914	sp	Q27433	MEC2_CAEEL	71.318	258	73	1	34	804	112	369	1.01e-105	318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5607.t1	69.92403105	4.443483887	1.181878299	3.759679732	0.000170131	0.029727435	5	2	3	2	913	1	2	4	0	0	8	55	1	1	sp	Q6ZMT9	DTHD1_HUMAN	33.333	483	255	17	679	2034	178	624	2.04e-61	226	NA	NA	NA	NA	NA	NA	NA	NA	NA	DTHD1_HUMAN	reviewed	Death domain-containing protein 1	DTHD1	Homo sapiens (Human)	781	signal transduction [GO:0007165]			signal transduction [GO:0007165]	GO:0007165
g1664.t1	397.5578372	0.963235319	0.237319721	4.058808572	4.93e-05	0.01297763	328	163	460	322	1049	585	158	369	270	178	461	646	554	271	sp	Q7ZWX9	MIDNB_XENLA	39.206	403	213	8	64	1194	7	403	3.9e-59	203	NA	NA	NA	NA	NA	NA	NA	NA	NA	MIDNB_XENLA	reviewed	Midnolin-B (Midbrain nucleolar protein B)	midn-b	Xenopus laevis (African clawed frog)	451		cytosol [GO:0005829]; nucleolus [GO:0005730]		cytosol [GO:0005829]; nucleolus [GO:0005730]	GO:0005730; GO:0005829
g782.t1	253.6222731	6.215611426	1.228102989	5.061148356	4.17e-07	0.000623162	3	3	7	4	2775	7	8	0	0	0	70	775	0	4	sp	P17945	HGF_RAT	34.074	405	185	19	109	1290	134	467	1.19e-45	172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g782.t1	253.6222731	6.215611426	1.228102989	5.061148356	4.17e-07	0.000623162	3	3	7	4	2775	7	8	0	0	0	70	775	0	4	sp	P17945	HGF_RAT	31.579	304	145	14	415	1299	134	383	4.85e-24	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11353.t1	1636.52761	-1.593319843	0.307045143	-5.189203871	2.11e-07	0.000400954	2360	1523	443	2114	368	732	1536	1980	2076	3045	970	1449	1472	2109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g8842.t1	325.3392111	2.365575602	0.610059873	3.877612191	0.000105487	0.022038283	15	120	64	45	1535	376	26	106	57	16	189	1731	272	222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3179.t1	17.18292663	7.167665124	1.26743422	5.655256117	1.56e-08	9.85e-05	0	0	0	0	143	35	0	0	0	0	26	34	19	0	sp	Q2V2M9	FHOD3_HUMAN	51.136	528	233	7	4597	6111	889	1414	1.04e-155	523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17719.t1	66.740993	2.388409952	0.504178061	4.737234989	2.17e-06	0.001788337	10	12	68	21	73	88	9	17	55	10	169	286	197	42	sp	Q8AVH7	EGFL6_XENLA	47.177	248	124	5	106	834	35	280	1.72e-61	219	NA	NA	NA	NA	NA	NA	NA	NA	NA	EGFL6_XENLA	reviewed	Epidermal growth factor-like protein 6 (EGF-like protein 6)	egfl6	Xenopus laevis (African clawed frog)	544	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; extracellular matrix organization [GO:0030198]; multicellular organism development [GO:0007275]	basement membrane [GO:0005604]; membrane [GO:0016020]	calcium ion binding [GO:0005509]	basement membrane [GO:0005604]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; extracellular matrix organization [GO:0030198]; multicellular organism development [GO:0007275]	GO:0005509; GO:0005604; GO:0007155; GO:0007275; GO:0016020; GO:0030154; GO:0030198
g9343.t1	165.1720365	-1.744352677	0.474578936	-3.675579645	0.00023731	0.036958877	195	287	61	218	88	94	299	121	192	163	80	120	11	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23103.t1	101.2469608	-2.127640228	0.461520545	-4.610066118	4.03e-06	0.002561441	89	27	15	175	17	37	121	337	96	253	63	42	77	85	sp	P22105	TENX_HUMAN	32.897	687	322	40	73	1977	148	747	1.22e-30	133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9984.t1	133.9759624	3.084031217	0.723356897	4.263498737	2.01e-05	0.007075451	7	10	34	69	503	345	5	30	25	1	93	708	146	41	sp	P16446	PIPNA_RAT	37.453	267	151	8	64	822	2	266	1.73e-47	162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15793.t1	39.56887715	2.45152568	0.471270291	5.201952527	1.97e-07	0.000400954	8	8	19	14	85	104	7	23	19	10	35	186	89	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13468.t1	63.43524155	4.78079007	1.149789916	4.157968343	3.21e-05	0.009676037	0	2	15	0	688	35	0	12	2	0	11	140	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13330.t1	10.53213694	2.91856926	0.59452354	4.909089485	9.15e-07	0.00091428	3	3	9	3	30	53	1	2	0	0	6	18	21	7	sp	O13067	CND2_XENLA	39.193	694	357	18	169	2175	45	698	5.42e-139	427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g624.t1	166.2936279	-2.032039219	0.569715378	-3.566762105	0.000361419	0.047982835	30	12	99	128	6	13	11	676	175	1039	160	8	288	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23714.t2	10.10942592	5.09313566	1.263078086	4.032320502	5.52e-05	0.013617126	0	0	1	1	110	14	0	0	0	0	7	11	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6492.t1	139.1505953	-1.189335421	0.306053909	-3.886032447	0.000101896	0.021735882	51	31	145	414	20	13	16	586	204	360	248	13	200	17	sp	Q6FHJ7	SFRP4_HUMAN	39.86	286	127	8	13	747	1	282	1.64e-56	189	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFRP4_HUMAN	reviewed	Secreted frizzled-related protein 4 (sFRP-4) (Frizzled protein, human endometrium) (FrpHE)	SFRP4 FRPHE	Homo sapiens (Human)	346	bone morphogenesis [GO:0060349]; cell differentiation [GO:0030154]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell proliferation [GO:0008285]; negative regulation of non-canonical Wnt signaling pathway [GO:2000051]; negative regulation of sequence-specific DNA binding transcription factor activity [GO:0043433]; negative regulation of sodium-dependent phosphate transport [GO:2000119]; negative regulation of Wnt signaling pathway [GO:0030178]; non-canonical Wnt signaling pathway [GO:0035567]; phosphate ion homeostasis [GO:0055062]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of epidermal cell differentiation [GO:0045606]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of receptor internalization [GO:0002092]; regulation of BMP signaling pathway [GO:0030510]; response to hormone [GO:0009725]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]	G-protein coupled receptor activity [GO:0004930]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; G-protein coupled receptor activity [GO:0004930]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]; bone morphogenesis [GO:0060349]; cell differentiation [GO:0030154]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell proliferation [GO:0008285]; negative regulation of non-canonical Wnt signaling pathway [GO:2000051]; negative regulation of sequence-specific DNA binding transcription factor activity [GO:0043433]; negative regulation of sodium-dependent phosphate transport [GO:2000119]; negative regulation of Wnt signaling pathway [GO:0030178]; non-canonical Wnt signaling pathway [GO:0035567]; phosphate ion homeostasis [GO:0055062]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of epidermal cell differentiation [GO:0045606]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of receptor internalization [GO:0002092]; regulation of BMP signaling pathway [GO:0030510]; response to hormone [GO:0009725]	GO:0002092; GO:0004930; GO:0005615; GO:0005634; GO:0005737; GO:0008285; GO:0009725; GO:0009986; GO:0010628; GO:0016021; GO:0017147; GO:0030154; GO:0030178; GO:0030510; GO:0035567; GO:0042813; GO:0043065; GO:0043433; GO:0045606; GO:0055062; GO:0060349; GO:0090090; GO:0090263; GO:1902174; GO:2000051; GO:2000119
g4148.t1	14048.88244	-0.861642358	0.204287418	-4.217794556	2.47e-05	0.008363687	22621	13768	8926	14816	8637	11325	12870	22738	9827	12614	7743	14655	13743	16124	sp	Q98SW2	HIF1A_ONCMY	45.54	213	95	2	4	579	228	440	7.65e-57	208	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIF1A_ONCMY	reviewed	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha)	hif1a	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	766	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	cell [GO:0005623]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]	cell [GO:0005623]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	GO:0003677; GO:0005623; GO:0005634; GO:0005737; GO:0006351; GO:0006355; GO:0016607; GO:0046983
g14455.t1	223.9666686	3.937360779	0.913997871	4.307844585	1.65e-05	0.006358155	44	8	6	3	2711	53	25	0	0	1	34	132	7	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10014.t1	75.94390018	-1.987819656	0.381583494	-5.209396334	1.89e-07	0.000400954	67	135	10	42	31	58	79	162	104	57	28	27	39	139	sp	Q07537	GALT1_BOVIN	54.344	587	226	9	22	1764	7	557	0	653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6847.t1	390.3741219	-0.639568654	0.146828229	-4.355897063	1.33e-05	0.005241563	475	322	340	506	251	285	272	532	438	590	363	321	544	339	sp	Q9UPU7	TBD2B_HUMAN	35.455	990	535	15	256	3126	33	951	0	566	NA	NA	NA	NA	NA	NA	NA	NA	NA	TBD2B_HUMAN	reviewed	TBC1 domain family member 2B	TBC1D2B KIAA1055	Homo sapiens (Human)	963	activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]; regulation of vesicle fusion [GO:0031338]	endomembrane system [GO:0012505]; intracellular [GO:0005622]	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]	endomembrane system [GO:0012505]; intracellular [GO:0005622]; GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]; regulation of vesicle fusion [GO:0031338]	GO:0005096; GO:0005622; GO:0006886; GO:0012505; GO:0017137; GO:0031338; GO:0090630
g1749.t1	43.58052134	-3.500320047	0.951203848	-3.679884239	0.00023334	0.03691631	10	76	0	11	3	17	108	38	10	42	0	84	0	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11899.t1	203.3337592	2.048374111	0.428380688	4.781667732	1.74e-06	0.001500219	35	110	242	57	648	294	81	34	28	27	79	754	285	225	sp	Q8VI93	OAS3_MOUSE	25.963	701	425	24	4	1965	452	1105	4.65e-43	171	NA	NA	NA	NA	NA	NA	NA	NA	NA	OAS3_MOUSE	reviewed	2'-5'-oligoadenylate synthase 3 ((2-5')oligo(A) synthase 3) (2-5A synthase 3) (EC 2.7.7.84) (2',5'-oligoadenylate synthetase-like 10)	Oas3 oasl10	Mus musculus (Mouse)	1138	defense response to virus [GO:0051607]; innate immune response [GO:0045087]; negative regulation of viral genome replication [GO:0045071]; regulation of ribonuclease activity [GO:0060700]; response to virus [GO:0009615]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	2'-5'-oligoadenylate synthetase activity [GO:0001730]; ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; 2'-5'-oligoadenylate synthetase activity [GO:0001730]; ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; negative regulation of viral genome replication [GO:0045071]; regulation of ribonuclease activity [GO:0060700]; response to virus [GO:0009615]	GO:0001730; GO:0003725; GO:0005524; GO:0005615; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0009615; GO:0045071; GO:0045087; GO:0046872; GO:0051607; GO:0060700
g23985.t2	206.0398712	1.233700547	0.333870807	3.695143512	0.000219763	0.035967184	86	55	194	168	539	179	66	290	180	116	464	226	573	98	sp	P21575	DYN1_RAT	70.893	773	186	4	1	2241	1	760	0	1106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23108.t1	825.2507148	-1.904666635	0.413256217	-4.608924338	4.05e-06	0.002561441	520	326	173	1268	157	296	1012	2615	1002	1570	620	408	715	893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12858.t1	29.43600143	4.089679068	1.11747137	3.659761833	0.00025245	0.038651282	1	3	1	2	372	6	1	1	0	0	3	28	0	1	sp	P53452	DRD1L_TAKRU	46.429	308	128	3	187	999	37	344	3.78e-87	276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23110.t1	106.4205061	-1.877653107	0.427989456	-4.387148049	1.15e-05	0.004938362	74	43	25	197	18	28	130	315	147	146	98	60	81	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g239.t1	58.48518879	6.310050733	1.439576256	4.383269525	1.17e-05	0.004938362	1	2	0	0	634	7	0	0	0	0	49	143	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g465.t1	5.726339801	3.269924117	0.898962569	3.637441903	0.000275359	0.041009873	0	0	1	2	22	17	1	0	0	0	1	31	6	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9978.t1	106.4488486	2.442986747	0.667979822	3.657276264	0.00025491	0.038715669	14	26	55	19	151	203	6	36	95	6	48	775	164	32	sp	O57382	TLL2_XENLA	25.18	417	232	14	436	1533	349	736	4.47e-31	133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24155.t1	21.75682576	3.86253413	1.046527539	3.69080983	0.000223541	0.036028632	1	2	2	0	203	7	0	3	5	0	4	82	9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14872.t1	861.7448135	2.586920342	0.68509984	3.77597569	0.000159383	0.029430348	53	38	741	326	692	2328	123	502	1596	170	479	2988	4196	116	sp	O93484	CO1A2_ONCMY	33.333	234	143	6	8377	9045	1124	1355	6.12e-34	148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3945.t1	3.474485279	4.495195922	1.19574394	3.759329879	0.000170369	0.029727435	0	0	2	0	8	20	0	0	1	0	0	15	7	0	sp	P47236	PAX1_CHICK	69.756	205	54	2	28	624	1	203	2.41e-86	258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10615.t1	179.7565802	-0.609333286	0.152061497	-4.007150381	6.15e-05	0.014404162	145	130	204	395	99	115	78	302	272	263	211	78	320	120	sp	Q19AZ8	THRB_PIG	38.756	209	113	7	472	1056	376	583	1.92e-32	136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g8977.t1	38.53861481	4.493565683	0.901373471	4.985242884	6.19e-07	0.000788768	3	1	0	3	138	49	0	10	3	1	65	279	34	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11872.t1	200.6440625	-2.26822355	0.517804047	-4.38046702	1.18e-05	0.004938362	313	230	23	460	19	35	152	789	224	250	155	126	90	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
